source_package_key,package_name,internal_component_count,internal_lob_count,apps,platforms,downloads,versions
conda-forge/numpy,numpy,312,9,148,4,96000,6
conda-forge/requests,requests,302,9,143,4,93000,6
conda-forge/setuptools,setuptools,292,9,138,4,90000,6
conda-forge/packaging,packaging,282,9,134,4,87000,6
conda-forge/certifi,certifi,273,9,129,4,84000,6
conda-forge/urllib3,urllib3,263,9,124,4,81000,6
conda-forge/pyyaml,pyyaml,253,8,120,4,78000,6
conda-forge/click,click,243,8,115,4,75000,6
conda-forge/attrs,attrs,234,8,111,4,72000,6
conda-forge/jinja2,jinja2,224,8,106,4,69000,6
conda-forge/pip,pip,214,8,101,4,66000,6
conda-forge/wheel,wheel,204,8,97,4,63000,6
conda-forge/typing-extensions,typing-extensions,195,7,92,4,60000,6
conda-forge/six,six,185,7,87,4,57000,6
conda-forge/python-dateutil,python-dateutil,175,7,83,4,54000,6
conda-forge/pytz,pytz,165,7,78,4,51000,6
conda-forge/pandas,pandas,204,8,96,4,41000,5
conda-forge/scipy,scipy,197,8,93,4,39718,5
conda-forge/pytest,pytest,191,8,90,4,38437,5
conda-forge/matplotlib,matplotlib,184,8,87,4,37156,5
conda-forge/cryptography,cryptography,178,8,84,4,35875,5
conda-forge/sqlalchemy,sqlalchemy,172,8,81,4,34593,5
conda-forge/psycopg2,psycopg2,165,7,78,4,33312,5
conda-forge/redis-py,redis-py,159,7,75,4,32031,5
conda-forge/boto3,boto3,153,7,72,4,30750,5
conda-forge/botocore,botocore,146,7,69,4,29468,5
conda-forge/pydantic,pydantic,140,7,66,4,28187,5
conda-forge/httpx,httpx,133,7,63,4,26906,5
conda-forge/tqdm,tqdm,127,6,60,4,25625,5
conda-forge/rich,rich,121,6,57,4,24343,5
conda-forge/structlog,structlog,114,6,54,4,23062,5
conda-forge/coverage,coverage,108,6,51,4,21781,5
conda-forge/scikit-learn,scikit-learn,118,6,54,3,17500,4
conda-forge/django,django,114,6,52,3,16953,4
conda-forge/flask,flask,110,6,50,3,16406,4
conda-forge/fastapi,fastapi,106,6,48,3,15859,4
conda-forge/starlette,starlette,103,6,47,3,15312,4
conda-forge/uvicorn,uvicorn,99,6,45,3,14765,4
conda-forge/gunicorn,gunicorn,95,5,43,3,14218,4
conda-forge/celery,celery,92,5,42,3,13671,4
conda-forge/alembic,alembic,88,5,40,3,13125,4
conda-forge/pytest-cov,pytest-cov,84,5,38,3,12578,4
conda-forge/mypy,mypy,81,5,37,3,12031,4
conda-forge/ruff,ruff,77,5,35,3,11484,4
conda-forge/black,black,73,4,33,3,10937,4
conda-forge/tox,tox,70,4,32,3,10390,4
conda-forge/cffi,cffi,66,4,30,3,9843,4
conda-forge/pillow,pillow,62,4,28,3,9296,4
conda-forge/pyarrow,pyarrow,61,4,22,3,5400,3
conda-forge/h5py,h5py,59,4,21,3,5231,3
conda-forge/numba,numba,57,4,20,3,5062,3
conda-forge/llvmlite,llvmlite,55,4,19,3,4893,3
conda-forge/cython,cython,53,4,19,3,4725,3
conda-forge/pybind11,pybind11,51,4,0,3,4556,3
conda-forge/paramiko,paramiko,49,3,17,3,4387,3
conda-forge/pyopenssl,pyopenssl,47,3,17,3,4218,3
conda-forge/asyncpg,asyncpg,45,3,16,3,4050,3
